docking_score,smiles
-8.0,NC(=O)[C@]1(NC(=O)c2ccc3c(n2)CCOC3)CCOc2ccccc21
-8.0,O=C(Nc1cnc2c(c1)CCC2)c1cc2c(O)ncnc2cn1
-7.9,O=S1(=O)c2cccc3cccc(c23)N1Cc1cccc(C(F)(F)F)c1
-7.9,Cc1c(C(=O)N2CC[C@H](O)C[C@@H](C)C2)nnn1-c1cccc2cnccc12
-7.9,CC1(C)C(=O)NCCN1Cc1nc(O)c2oc3ccccc3c2n1
-7.9,O=C(Cn1c(C(F)(F)F)nc2ccccc21)Nc1cccc2ncccc12
-7.9,CC(=O)N1CCc2[nH]nc(CNC(=O)c3ccnc4ncc(C)cc34)c2C1
-7.9,Cc1ccc2nc(NC(=O)Cc3cccc(OCc4cccnc4)c3)sc2c1
-7.9,O=C(CNC(=O)N(C1CC1)[C@H]1CCCc2ccccc21)N1CCCC1
-7.9,Cn1cc2cc(-c3ccc4c(c3)CC[C@@H]4C(=O)O)cc(F)c2n1
-7.9,O=C1CCCc2ccc(S(=O)(=O)Nc3ccc(-c4cncnc4)cn3)cc21
-7.9,C[C@H]1c2c(F)cccc2CCN1C(=O)c1c[nH]c2cc([N+](=O)[O-])ccc12
-7.9,C[C@@H](O)c1cn(C2CN(C(=O)C(F)(F)c3ccccc3F)C2)nn1
-7.9,O=C(NC[C@@H](O)c1ccccc1Cl)[C@H]1Cc2ccccc2CN1
-7.9,CN(CC(=O)Nc1ccc(F)c(F)c1F)[C@H]1CCc2ccccc21
-7.9,Cc1[nH]c(C(=O)O)nc1-c1ccc(F)c(C(F)(F)F)c1
-7.9,Cc1ccccc1N=c1[nH]c(CN2C(=O)[C@H]3CC=CC[C@@H]3C2=O)nc(=N)[nH]1
-7.9,CC1=C(C#N)[C@]2(N)O[C@@]1(C)[C@H]1C(=O)C=CC(=O)[C@H]12
-7.9,C[C@]1(NC(=O)NCc2nc(-c3ccccc3)n[nH]2)CCOC1
-7.9,O=C(Nc1cccc2nc(O)ccc12)[C@@H]1CCc2nnnn2C1
-7.9,O=C1N[C@@H](Cc2csc3ccccc23)C(=O)N[C@H]1Cc1cnc[nH]1
-7.9,CN1C(=O)C[C@H](C(=O)Nc2nnnn2C)c2ccccc21
-7.9,c1ccc([C@H]2Nc3ccccc3-c3nc4ccccc4n32)cc1
-7.9,Cc1ccc(F)cc1NC(=O)[C@@H]1CCCN1C(=O)C12CC3CC(CC(C3)C1)C2
-7.9,CCNC(=O)NC(=O)[C@@H](Sc1ccc(F)c(F)c1)c1ccccc1
-7.9,O=C(O)[C@H]1CCN(C(=O)[C@@H]2CC23CCOCC3)c2ccccc21
-7.9,COc1ccc(CCNC(=O)N2CCC[C@H]([C@@]3(C)NC(=O)NC3=O)C2)cc1F
-7.9,Cc1c(C(=O)Nc2nc(CN3C[C@H](C)O[C@H](C)C3)cs2)[nH]c2c1C(=O)CCC2
-7.9,O=C1c2cccc3cccc(c23)N1Cc1cc(-c2cccs2)on1
-7.9,Cc1cc(-c2nnc([C@@H]3CCC(=O)N(Cc4ccccc4)C3)o2)c(C)o1
-7.9,Cc1ccccc1-c1cc(=NC(=O)CN2CCCC[C@@H](O)C2=O)[nH][nH]1
-7.9,COc1ccc2c(c1)C[C@H](Nc1cc(Nc3ccccc3)nc(C)n1)CCC2
-7.9,O=C(Cc1cccc(-c2nn[nH]n2)c1)N1C[C@@H]2C[C@H]1[C@H]1C[C@H]12
-7.9,O=C(N[C@H](c1cccc(C(F)(F)F)c1)c1nc[nH]n1)[C@]1(F)CNCC12CCC2
-7.8,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1OCc1ccccc1
-7.8,Cc1cccc(NC(=O)[C@H]2CCCN(CCC(=O)NC(N)=O)C2)n1
-7.8,O=C(NNC(=O)c1ccc(F)cc1F)c1ccc(F)cc1
-7.8,O=C(O)[C@H]1Cc2ccccc2CN1C(=O)Cn1ncc(=O)c2ccccc21
-7.8,Cc1cc(C(=O)N[C@@H](c2ccccc2)c2cc3ccccc3o2)on1
-7.8,C[C@](NC(=O)[C@H]1CCc2ccccc21)(C(=O)O)c1ccc(S(C)(=O)=O)cc1
-7.8,Cc1oc2ncn(C)c(=O)c2c1C(=O)N[C@H]1CCOc2c(F)cccc21
-7.8,C[C@]1(c2cccc(NC(=O)c3csc(-c4ccsc4)n3)c2)NC(=O)NC1=O
-7.8,O=C(Cc1cccc2ccccc12)NNC(=O)c1cn2ccccc2n1
-7.8,CN(CC(=O)N(C)[C@@H]1CCCc2ccccc21)[C@@H]1CCc2ccccc21
-7.8,Cc1noc(C)c1CCCNC(=O)N1CCO[C@@]2(CCc3ccccc32)C1
-7.8,O=C(O)C1(c2cccc(NCc3ccc(C(F)(F)F)o3)c2)CC1
-7.8,C[C@H]1CN(c2nc(-c3cccnc3)nc3c2CCC3)CCN(C2CC2)C1
-7.8,COc1cccc(C2(C(=O)N3Cc4ccccc4OC[C@H]3C)CC2)c1
-7.8,O=C(Nc1n[nH]c(-c2ccccn2)n1)[C@@H]1Cc2ccccc2CO1
-7.8,Cc1noc(C)c1C(=O)NCc1cccnc1Oc1cccc(F)c1
-7.8,c1ccc(-n2nnnc2SC2c3ccccc3-c3ccccc32)cc1
-7.8,O=C(Nc1ccccn1)N1CCCN(Cc2ccccc2F)CC1
-7.8,O=C(O)c1cc2ccccc2n1Cc1cccnc1C(F)(F)F
-7.8,Cc1nc(=O)c2c(C)c(C(=O)OCC(=O)Nc3cccc(Cl)c3Cl)sc2[nH]1
-7.8,Cc1cc(O)nc([C@H](C)N[C@@H](C)c2cccc(C(F)(F)F)c2)n1
-7.8,COc1ccccc1-c1nc(NC(=O)[C@@H]2CC(=O)N(c3ccccc3)C2)n[nH]1
-7.8,O=C(O)c1ccnn1C1CN(C(=O)c2ccc3nnnn3c2)C1
-7.8,NC(=O)c1cc(CNC(=O)N2C[C@H](c3ccccc3)[C@H]3COCC[C@H]32)on1
-7.8,NC(=O)NC(=O)c1cccc(NC(=O)c2ncsc2Nc2ccccc2)c1
-7.8,O=C(NCCc1c[nH]c2cc(F)ccc12)c1cccc(-c2nc[nH]n2)c1
-7.8,Cc1ccccc1S(=O)(=O)Nc1cc(Br)c2oc3c(c2c1)C(=O)CCC3
-7.8,O=C(O)[C@@H]1Cc2ccccc2CN1C(=O)[C@H]1C[C@@H]1c1ccc2c(c1)OCCO2
